거래처명,사업장,전기일,전표헤더텍스트,금액,투자유형_확정,확신도
사내교육원,1,2024-09-10,직무 워크숍 운영 (4호기),29328558,교육강화,0.8
에스원,2,2021-02-25,사이버보안 시스템 구축 (9호기),59333209,보안강화,0.8
대명정비,2,2022-02-13,정기보수 용역 (7호기),361300250,정기사업,0.8
에코텍,4,2024-05-13,탈황설비 성능개선 (2호기),77649123,환경강화,0.8
한불환경,3,2019-09-27,탈황설비 성능개선 (7호기),292172667,환경강화,0.8
GE코리아,2,2019-04-04,가스터빈 LTSA 정산 (5호기),391462297,LTSA,0.8
blueEnviro,4,2016-05-08,탈황설비 성능개선 (6호기),295880107,환경강화,0.8
에스원,2,2017-04-08,사이버보안 시스템 구축 (6호기),50962024,보안강화,0.8
한일정공,5,2018-12-25,정기보수 용역 (4호기),134707845,정기사업,0.8
에코텍,2,2023-03-26,집진기 교체공사 (8호기),229580301,환경강화,0.8
한전KPS,1,2022-05-15,정기점검 정비공사 (1호기),123798748,정기사업,0.8
에코텍,5,2024-08-04,탈황설비 성능개선 (6호기),124891013,환경강화,0.8
동아전기,5,2023-12-25,노후 배관 교체공사 (3호기),197090936,노후설비개체,0.8
포스코ICT,1,2017-12-11,AI 예지보전 시스템 도입 (9호기),82726345,AX/DX,0.8
한불환경,4,2019-03-11,집진기 교체공사 (2호기),290245975,환경강화,0.8
한강배관,1,2023-04-02,노후 변압기 개체 (1호기),257540783,노후설비개체,0.8
blueEnviro,5,2021-10-21,탈황설비 성능개선 (3호기),133824044,환경강화,0.8
한강배관,2,2024-10-02,노후 밸브 갱신공사 (6호기),552329851,노후설비개체,0.8
대성설비,2,2023-07-21,설비 신뢰도 향상 공사 (1호기),104005616,운영안정성 제고,0.8
허니웰,2,2022-01-16,스마트팩토리 구축 (6호기),114416106,AX/DX,0.8
포스코ICT,3,2016-09-24,AI 예지보전 시스템 도입 (2호기),141879360,AX/DX,0.8
대성설비,5,2025-08-23,운전안정화 개선공사 (9호기),182898885,운영안정성 제고,0.8
안랩,2,2024-02-23,사이버보안 시스템 구축 (5호기),70873663,보안강화,0.8
삼진밸브,2,2022-03-20,노후 배관 교체공사 (5호기),205909492,노후설비개체,0.8
한전KPS,1,2016-02-17,정기점검 정비공사 (1호기),257397447,정기사업,0.8
사내교육원,2,2016-07-22,직무 워크숍 운영 (4호기),25918926,교육강화,0.8
우진기전,2,2020-11-23,설비 신뢰도 향상 공사 (7호기),66425624,운영안정성 제고,0.8
한전KPS,5,2017-11-21,운전안정화 개선공사 (6호기),94652736,운영안정성 제고,0.8
한강배관,1,2021-06-26,노후 배관 교체공사 (3호기),107978076,노후설비개체,0.8
허니웰,2,2016-04-22,스마트팩토리 구축 (5호기),349010119,AX/DX,0.8
blueEnviro,3,2023-07-24,집진기 교체공사 (7호기),298769718,환경강화,0.8
사내교육원,2,2023-02-17,직무 워크숍 운영 (2호기),29199708,교육강화,0.8
사내교육원,2,2025-04-01,정비인력 기술교육 (1호기),12374963,교육강화,0.8
사내교육원,4,2021-02-03,정비인력 기술교육 (8호기),34766964,교육강화,0.8
대성설비,4,2020-05-22,운전안정화 개선공사 (1호기),164890469,운영안정성 제고,0.8
안랩,5,2017-02-03,사이버보안 시스템 구축 (9호기),11297845,보안강화,0.8
한일정공,5,2022-12-27,정기점검 정비공사 (6호기),268495233,정기사업,0.8
한강배관,4,2025-12-11,노후 변압기 개체 (3호기),107561393,노후설비개체,0.8
에코텍,2,2021-06-22,탈황설비 성능개선 (9호기),210775734,환경강화,0.8
대성설비,5,2020-11-08,운전안정화 개선공사 (6호기),69083935,운영안정성 제고,0.8
한일정공,5,2019-12-16,정기점검 정비공사 (4호기),196170619,정기사업,0.8
포스코ICT,5,2025-07-27,AI 예지보전 시스템 도입 (1호기),143987187,AX/DX,0.8
두산에너빌리티,3,2025-05-15,가스터빈 LTSA 정산 (2호기),659748735,LTSA,0.8
에머슨코리아,4,2018-01-13,스마트팩토리 구축 (7호기),310727063,AX/DX,0.8
우진기전,5,2019-02-15,운전안정화 개선공사 (5호기),157884357,운영안정성 제고,0.8
에스원,4,2020-07-07,사이버보안 시스템 구축 (9호기),29413516,보안강화,0.8
한강배관,5,2023-02-25,노후 밸브 갱신공사 (9호기),327233170,노후설비개체,0.8
사내교육원,4,2018-08-01,직무 워크숍 운영 (1호기),30526938,교육강화,0.8
허니웰,5,2018-05-17,AI 예지보전 시스템 도입 (3호기),95524257,AX/DX,0.8
에코텍,5,2021-04-20,탈황설비 성능개선 (8호기),195248169,환경강화,0.8
포스코ICT,2,2020-05-27,스마트팩토리 구축 (9호기),319399011,AX/DX,0.8
케이티텔레캅,3,2018-05-27,사이버보안 시스템 구축 (5호기),66581473,보안강화,0.8
삼진밸브,3,2024-04-12,노후 배관 교체공사 (6호기),480819791,노후설비개체,0.8
에머슨코리아,2,2025-11-08,AI 예지보전 시스템 도입 (9호기),171156543,AX/DX,0.8
한전KPS,4,2016-10-07,정기보수 용역 (5호기),274151326,정기사업,0.8
한불환경,1,2021-08-03,집진기 교체공사 (4호기),92791999,환경강화,0.8
삼진밸브,4,2017-07-26,노후 배관 교체공사 (6호기),520040549,노후설비개체,0.8
에스원,1,2023-11-17,사이버보안 시스템 구축 (9호기),12205915,보안강화,0.8
사내교육원,5,2020-02-20,정비인력 기술교육 (3호기),16748705,교육강화,0.8
한전KPS,2,2020-06-03,정기보수 용역 (7호기),379204934,정기사업,0.8
대성설비,3,2023-12-15,운전안정화 개선공사 (7호기),84733364,운영안정성 제고,0.8
지멘스에너지,5,2019-06-06,OEM 터빈정비계약 (8호기),772949775,LTSA,0.8
안전보건공단,1,2020-06-22,직무 워크숍 운영 (2호기),35520173,교육강화,0.8
안전보건공단,4,2025-05-23,정비인력 기술교육 (5호기),7823034,교육강화,0.8
삼진밸브,1,2023-03-03,노후 밸브 갱신공사 (8호기),118682554,노후설비개체,0.8
포스코ICT,3,2018-08-03,스마트팩토리 구축 (4호기),197423381,AX/DX,0.8
한일정공,1,2016-04-28,정기점검 정비공사 (5호기),122837990,정기사업,0.8
blueEnviro,4,2022-02-10,탈황설비 성능개선 (3호기),101592779,환경강화,0.8
한전KPS,1,2018-10-05,정기점검 정비공사 (4호기),90941438,정기사업,0.8
허니웰,2,2023-04-19,스마트팩토리 구축 (1호기),239416668,AX/DX,0.8
한강배관,3,2025-10-24,노후 변압기 개체 (3호기),310965885,노후설비개체,0.8
포스코ICT,4,2018-08-15,AI 예지보전 시스템 도입 (6호기),299638633,AX/DX,0.8
삼진밸브,4,2018-06-07,노후 배관 교체공사 (5호기),303529838,노후설비개체,0.8
한전KPS,2,2024-06-18,정기점검 정비공사 (8호기),94111130,정기사업,0.8
사내교육원,5,2017-04-10,직무 워크숍 운영 (8호기),15388239,교육강화,0.8
두산에너빌리티,4,2019-02-08,OEM 터빈정비계약 (5호기),327772220,LTSA,0.8
한전KPS,5,2016-05-27,운전안정화 개선공사 (2호기),207852742,운영안정성 제고,0.8
한전KPS,3,2023-09-05,정기점검 정비공사 (5호기),321226417,정기사업,0.8
안랩,3,2020-01-02,사이버보안 시스템 구축 (2호기),28760553,보안강화,0.8
에코텍,4,2018-10-18,탈황설비 성능개선 (8호기),94259824,환경강화,0.8
케이티텔레캅,4,2024-07-17,사이버보안 시스템 구축 (1호기),22086184,보안강화,0.8
포스코ICT,3,2022-01-15,스마트팩토리 구축 (9호기),130992921,AX/DX,0.8
안전보건공단,5,2018-05-25,정비인력 기술교육 (8호기),35203670,교육강화,0.8
한전KPS,5,2016-01-03,정기보수 용역 (7호기),97063198,정기사업,0.8
안전보건공단,5,2020-01-27,직무 워크숍 운영 (5호기),24812600,교육강화,0.8
삼진밸브,4,2023-12-08,노후 변압기 개체 (6호기),463119576,노후설비개체,0.8
허니웰,3,2023-11-15,스마트팩토리 구축 (1호기),132376487,AX/DX,0.8
한전KPS,1,2017-12-26,운전안정화 개선공사 (7호기),132794676,운영안정성 제고,0.8
GE코리아,1,2024-04-25,가스터빈 LTSA 정산 (5호기),999145494,LTSA,0.8
포스코ICT,3,2019-09-17,AI 예지보전 시스템 도입 (6호기),304079790,AX/DX,0.8
허니웰,1,2023-09-16,스마트팩토리 구축 (9호기),263794911,AX/DX,0.8
blueEnviro,5,2022-01-02,집진기 교체공사 (8호기),181309705,환경강화,0.8
한전KPS,4,2018-06-08,정기보수 용역 (9호기),107963244,정기사업,0.8
한불환경,3,2018-12-18,집진기 교체공사 (9호기),260659709,환경강화,0.8
한전KPS,3,2018-03-10,운전안정화 개선공사 (2호기),248786918,운영안정성 제고,0.8
포스코ICT,5,2016-07-21,스마트팩토리 구축 (4호기),318022742,AX/DX,0.8
동아전기,2,2024-02-17,노후 밸브 갱신공사 (1호기),546349542,노후설비개체,0.8
한강배관,1,2020-08-02,노후 밸브 갱신공사 (1호기),265857076,노후설비개체,0.8
에코텍,4,2016-04-03,집진기 교체공사 (2호기),126546657,환경강화,0.8
안전보건공단,1,2022-02-14,정비인력 기술교육 (8호기),29283523,교육강화,0.8
한불환경,2,2019-05-11,탈황설비 성능개선 (6호기),274166493,환경강화,0.8
안전보건공단,3,2016-02-03,정비인력 기술교육 (4호기),27588477,교육강화,0.8
한국생산성본부,1,2021-12-17,직무 워크숍 운영 (1호기),11157753,교육강화,0.8
포스코ICT,3,2016-03-24,스마트팩토리 구축 (4호기),339499014,AX/DX,0.8
대명정비,3,2025-04-07,정기보수 용역 (5호기),337203722,정기사업,0.8
허니웰,4,2018-11-23,스마트팩토리 구축 (4호기),129226760,AX/DX,0.8
대명정비,3,2024-10-10,정기보수 용역 (8호기),195196616,정기사업,0.8
삼진밸브,1,2022-10-25,노후 밸브 갱신공사 (8호기),349082907,노후설비개체,0.8
포스코ICT,3,2019-02-18,AI 예지보전 시스템 도입 (4호기),278244747,AX/DX,0.8
동아전기,2,2018-04-03,노후 밸브 갱신공사 (3호기),479255889,노후설비개체,0.8
한강배관,3,2024-03-25,노후 변압기 개체 (6호기),314059350,노후설비개체,0.8
안전보건공단,5,2017-03-19,정비인력 기술교육 (2호기),22529855,교육강화,0.8
두산에너빌리티,5,2021-03-09,가스터빈 LTSA 정산 (5호기),331088245,LTSA,0.8
한강배관,4,2020-05-11,노후 배관 교체공사 (2호기),352055846,노후설비개체,0.8
한일정공,5,2022-11-11,정기보수 용역 (9호기),100265528,정기사업,0.8
삼진밸브,3,2022-06-10,노후 밸브 갱신공사 (3호기),592174504,노후설비개체,0.8
한일정공,3,2022-01-08,정기점검 정비공사 (9호기),172641861,정기사업,0.8
한전KPS,2,2024-09-13,설비 신뢰도 향상 공사 (3호기),173961093,운영안정성 제고,0.8
우진기전,5,2017-09-10,운전안정화 개선공사 (1호기),219278163,운영안정성 제고,0.8
blueEnviro,1,2016-05-03,탈황설비 성능개선 (6호기),167686853,환경강화,0.8
대명정비,3,2016-12-24,정기점검 정비공사 (8호기),81742315,정기사업,0.8
동아전기,1,2025-05-02,노후 변압기 개체 (3호기),502118031,노후설비개체,0.8
지멘스에너지,1,2025-11-25,OEM 터빈정비계약 (8호기),407959268,LTSA,0.8
대명정비,3,2022-08-17,정기점검 정비공사 (5호기),398436524,정기사업,0.8
삼진밸브,5,2021-09-09,노후 변압기 개체 (3호기),169788994,노후설비개체,0.8
GE코리아,3,2023-11-21,OEM 터빈정비계약 (4호기),1086989426,LTSA,0.8
사내교육원,2,2022-09-13,직무 워크숍 운영 (2호기),25775688,교육강화,0.8
한전KPS,3,2019-04-25,설비 신뢰도 향상 공사 (5호기),161011240,운영안정성 제고,0.8
두산에너빌리티,1,2023-09-26,가스터빈 LTSA 정산 (7호기),690102359,LTSA,0.8
에머슨코리아,3,2019-03-09,스마트팩토리 구축 (1호기),336761594,AX/DX,0.8
에코텍,3,2025-05-18,집진기 교체공사 (4호기),126174477,환경강화,0.8
한전KPS,4,2020-01-11,정기보수 용역 (5호기),95540939,정기사업,0.8
안전보건공단,5,2023-06-08,정비인력 기술교육 (7호기),10476448,교육강화,0.8
지멘스에너지,3,2020-04-17,OEM 터빈정비계약 (7호기),456304376,LTSA,0.8
대명정비,2,2017-03-09,정기점검 정비공사 (2호기),377009682,정기사업,0.8
대성설비,3,2019-04-11,설비 신뢰도 향상 공사 (2호기),233618289,운영안정성 제고,0.8
두산에너빌리티,1,2016-11-11,가스터빈 LTSA 정산 (5호기),1125276600,LTSA,0.8
한불환경,3,2023-06-13,탈황설비 성능개선 (3호기),202125805,환경강화,0.8
한불환경,1,2020-01-24,탈황설비 성능개선 (9호기),182655697,환경강화,0.8
허니웰,4,2021-12-04,스마트팩토리 구축 (7호기),273332742,AX/DX,0.8
허니웰,2,2018-08-23,AI 예지보전 시스템 도입 (2호기),167018823,AX/DX,0.8
두산에너빌리티,1,2019-08-04,OEM 터빈정비계약 (3호기),984907325,LTSA,0.8
대명정비,4,2021-05-20,정기보수 용역 (7호기),107619901,정기사업,0.8
지멘스에너지,5,2021-08-28,OEM 터빈정비계약 (1호기),365310776,LTSA,0.8
동아전기,1,2020-07-23,노후 변압기 개체 (5호기),443027603,노후설비개체,0.8
에머슨코리아,3,2017-01-28,AI 예지보전 시스템 도입 (2호기),255375523,AX/DX,0.8
허니웰,4,2021-06-10,스마트팩토리 구축 (6호기),134508460,AX/DX,0.8
사내교육원,4,2022-10-21,직무 워크숍 운영 (1호기),35181117,교육강화,0.8
한강배관,5,2017-01-10,노후 변압기 개체 (7호기),394171548,노후설비개체,0.8
동아전기,3,2025-10-17,노후 밸브 갱신공사 (8호기),179961909,노후설비개체,0.8
한전KPS,4,2024-05-13,설비 신뢰도 향상 공사 (2호기),53584254,운영안정성 제고,0.8
대성설비,1,2024-03-21,설비 신뢰도 향상 공사 (9호기),113672388,운영안정성 제고,0.8
대명정비,4,2022-10-02,정기보수 용역 (5호기),227464300,정기사업,0.8
한국생산성본부,5,2021-08-25,직무 워크숍 운영 (2호기),36960325,교육강화,0.8
한강배관,1,2025-08-16,노후 배관 교체공사 (7호기),450519150,노후설비개체,0.8
한전KPS,1,2016-10-03,정기점검 정비공사 (3호기),306645405,정기사업,0.8
지멘스에너지,2,2017-05-12,OEM 터빈정비계약 (5호기),374539964,LTSA,0.8
안랩,1,2024-09-18,사이버보안 시스템 구축 (6호기),18715975,보안강화,0.8
우진기전,5,2019-04-10,운전안정화 개선공사 (5호기),66984771,운영안정성 제고,0.8
한강배관,4,2020-05-14,노후 변압기 개체 (9호기),478714985,노후설비개체,0.8
허니웰,1,2016-11-18,AI 예지보전 시스템 도입 (2호기),77159403,AX/DX,0.8
지멘스에너지,2,2019-08-03,가스터빈 LTSA 정산 (5호기),1054827139,LTSA,0.8
허니웰,2,2019-04-06,AI 예지보전 시스템 도입 (2호기),134319384,AX/DX,0.8
GE코리아,3,2023-03-05,가스터빈 LTSA 정산 (6호기),1149738493,LTSA,0.8
한전KPS,5,2016-03-09,정기점검 정비공사 (8호기),375173558,정기사업,0.8
안전보건공단,4,2019-08-03,직무 워크숍 운영 (7호기),7462702,교육강화,0.8
대성설비,4,2020-02-08,설비 신뢰도 향상 공사 (7호기),169710176,운영안정성 제고,0.8
안전보건공단,4,2018-01-07,직무 워크숍 운영 (8호기),32902136,교육강화,0.8
사내교육원,5,2019-08-15,직무 워크숍 운영 (4호기),30526737,교육강화,0.8
대성설비,3,2021-10-22,설비 신뢰도 향상 공사 (3호기),78453779,운영안정성 제고,0.8
케이티텔레캅,2,2016-02-22,사이버보안 시스템 구축 (4호기),22660194,보안강화,0.8
사내교육원,5,2024-11-10,정비인력 기술교육 (8호기),24439535,교육강화,0.8
한강배관,2,2024-01-02,노후 밸브 갱신공사 (7호기),368477282,노후설비개체,0.8
허니웰,3,2025-11-19,스마트팩토리 구축 (1호기),98028856,AX/DX,0.8
두산에너빌리티,4,2018-11-14,가스터빈 LTSA 정산 (1호기),390137896,LTSA,0.8
동아전기,3,2017-08-20,노후 변압기 개체 (2호기),105001198,노후설비개체,0.8
두산에너빌리티,1,2017-03-02,OEM 터빈정비계약 (9호기),870292350,LTSA,0.8
사내교육원,5,2020-04-15,정비인력 기술교육 (8호기),14604467,교육강화,0.8
삼진밸브,5,2017-07-05,노후 변압기 개체 (9호기),179507246,노후설비개체,0.8
한국생산성본부,1,2023-07-02,안전보건 역량강화 교육 (6호기),6789806,교육강화,0.9
한국생산성본부,2,2022-09-18,안전보건 역량강화 교육 (9호기),20442468,교육강화,0.9
허니웰,4,2021-11-12,DCS 자동화 개선 (6호기),103340607,AX/DX,0.9
지멘스에너지,1,2018-12-17,LTSA 장기서비스계약 (3호기),1163406382,LTSA,0.9
대성설비,5,2017-11-14,예비설비 보강 (1호기),64776180,운영안정성 제고,0.9
대명정비,2,2017-09-23,계획예방정비(TA) (3호기),315248548,정기사업,0.9
에머슨코리아,5,2021-03-26,DCS 자동화 개선 (6호기),180765052,AX/DX,0.9
허니웰,5,2021-01-05,DCS 자동화 개선 (3호기),192468098,AX/DX,0.9
한전KPS,1,2017-05-06,예비설비 보강 (3호기),211023819,운영안정성 제고,0.9
에스원,1,2021-02-24,CCTV 및 출입통제 개선 (2호기),67965485,보안강화,0.9
에스원,1,2021-07-15,CCTV 및 출입통제 개선 (9호기),28208520,보안강화,0.9
케이티텔레캅,2,2016-12-19,CCTV 및 출입통제 개선 (4호기),45264581,보안강화,0.9
한일정공,3,2022-05-04,계획예방정비(TA) (7호기),304247736,정기사업,0.9
한전KPS,1,2022-04-10,예비설비 보강 (1호기),42063486,운영안정성 제고,0.9
한전KPS,2,2024-09-12,계획예방정비(TA) (6호기),262045032,정기사업,0.9
사내교육원,4,2022-04-25,안전보건 역량강화 교육 (7호기),23331916,교육강화,0.9
허니웰,5,2020-11-25,DCS 자동화 개선 (4호기),184554237,AX/DX,0.9
안랩,1,2018-03-26,CCTV 및 출입통제 개선 (2호기),71265269,보안강화,0.9
한전KPS,4,2023-05-25,예비설비 보강 (8호기),163931274,운영안정성 제고,0.9
우진기전,5,2019-09-07,예비설비 보강 (9호기),42724918,운영안정성 제고,0.9
지멘스에너지,3,2019-08-03,LTSA 장기서비스계약 (2호기),730256336,LTSA,0.9
포스코ICT,5,2017-11-19,DCS 자동화 개선 (2호기),275069660,AX/DX,0.9
우진기전,1,2023-02-23,예비설비 보강 (6호기),188858397,운영안정성 제고,0.9
한일정공,5,2023-06-18,계획예방정비(TA) (3호기),103802540,정기사업,0.9
케이티텔레캅,4,2023-06-26,CCTV 및 출입통제 개선 (8호기),76776459,보안강화,0.9
두산에너빌리티,3,2019-09-21,LTSA 장기서비스계약 (3호기),805196410,LTSA,0.9
한일정공,3,2017-03-26,계획예방정비(TA) (3호기),207097385,정기사업,0.9
에스원,4,2020-05-15,CCTV 및 출입통제 개선 (5호기),27584297,보안강화,0.9
지멘스에너지,2,2017-08-10,LTSA 장기서비스계약 (7호기),584759615,LTSA,0.9
허니웰,3,2017-11-28,DCS 자동화 개선 (6호기),218532176,AX/DX,0.9
두산에너빌리티,2,2016-08-27,LTSA 장기서비스계약 (2호기),1085879795,LTSA,0.9
우진기전,1,2017-09-22,예비설비 보강 (1호기),179565055,운영안정성 제고,0.9
케이티텔레캅,3,2025-07-17,CCTV 및 출입통제 개선 (7호기),37365878,보안강화,0.9
안전보건공단,1,2016-12-15,안전보건 역량강화 교육 (5호기),7915909,교육강화,0.9
한국생산성본부,2,2024-03-16,안전보건 역량강화 교육 (6호기),17739550,교육강화,0.9
허니웰,5,2016-05-15,DCS 자동화 개선 (7호기),148509390,AX/DX,0.9
지멘스에너지,5,2020-08-04,LTSA 장기서비스계약 (4호기),421827951,LTSA,0.9
한전KPS,3,2022-09-21,예비설비 보강 (3호기),60502932,운영안정성 제고,0.9
우진기전,1,2025-10-19,예비설비 보강 (5호기),215983861,운영안정성 제고,0.9
한일정공,4,2021-12-12,계획예방정비(TA) (5호기),97564422,정기사업,0.9
한일정공,1,2016-03-24,계획예방정비(TA) (4호기),199835355,정기사업,0.9
GE코리아,1,2016-08-07,LTSA 장기서비스계약 (7호기),821453189,LTSA,0.9
한일정공,2,2019-04-23,계획예방정비(TA) (8호기),378057956,정기사업,0.9
에스원,5,2023-04-27,CCTV 및 출입통제 개선 (1호기),44349528,보안강화,0.9
대성설비,2,2025-12-16,예비설비 보강 (4호기),225284865,운영안정성 제고,0.9
케이티텔레캅,4,2019-04-13,CCTV 및 출입통제 개선 (2호기),49491631,보안강화,0.9
대성설비,5,2019-12-04,예비설비 보강 (1호기),203646551,운영안정성 제고,0.9
한전KPS,2,2019-08-10,계획예방정비(TA) (8호기),398799956,정기사업,0.9
안랩,1,2025-09-11,CCTV 및 출입통제 개선 (9호기),37828932,보안강화,0.9
한일정공,5,2022-12-28,계획예방정비(TA) (5호기),215289207,정기사업,0.9
한전KPS,5,2018-12-07,계획예방정비(TA) (7호기),292952228,정기사업,0.9
사내교육원,5,2023-10-05,안전보건 역량강화 교육 (3호기),18401487,교육강화,0.9
우진기전,1,2023-10-27,예비설비 보강 (2호기),155590227,운영안정성 제고,0.9
대명정비,4,2016-06-12,계획예방정비(TA) (6호기),167324253,정기사업,0.9
한전KPS,4,2024-06-02,계획예방정비(TA) (6호기),296495383,정기사업,0.9
한일정공,4,2024-10-22,계획예방정비(TA) (9호기),230173894,정기사업,0.9
에스원,2,2024-03-23,CCTV 및 출입통제 개선 (2호기),70672142,보안강화,0.9
허니웰,2,2016-01-20,DCS 자동화 개선 (9호기),334731459,AX/DX,0.9
한일정공,3,2017-07-23,계획예방정비(TA) (7호기),255118112,정기사업,0.9
허니웰,2,2019-03-26,DCS 자동화 개선 (2호기),82017929,AX/DX,0.9
대성설비,2,2018-02-05,예비설비 보강 (6호기),184996008,운영안정성 제고,0.9
사내교육원,4,2016-09-28,안전보건 역량강화 교육 (9호기),21872115,교육강화,0.9
한전KPS,4,2025-02-14,예비설비 보강 (6호기),220873527,운영안정성 제고,0.9
우진기전,5,2019-12-19,예비설비 보강 (8호기),156923636,운영안정성 제고,0.9
안전보건공단,3,2016-11-21,안전보건 역량강화 교육 (8호기),8635366,교육강화,0.9
