거래처명,사업장,전기일,전표헤더텍스트,금액
사내교육원,4,2021-02-03,정비인력 기술교육 (8호기),34766964
대성설비,4,2020-05-22,운전안정화 개선공사 (1호기),164890469
안랩,5,2017-02-03,사이버보안 시스템 구축 (9호기),11297845
에코텍,4,2019-12-15,대기오염 저감설비 보강 (6호기),154438418
허니웰,5,2020-11-25,DCS 자동화 개선 (4호기),184554237
대명정비,2,2022-02-13,정기보수 용역 (7호기),361300250
에코텍,2,2021-06-22,탈황설비 성능개선 (9호기),210775734
한전KPS,4,2023-05-25,예비설비 보강 (8호기),163931274
안랩,1,2018-03-26,CCTV 및 출입통제 개선 (2호기),71265269
케이티텔레캅,5,2023-09-08,발전소 방호설비 보강 (8호기),41407343
에코텍,4,2024-05-13,탈황설비 성능개선 (2호기),77649123
에스원,1,2021-02-24,CCTV 및 출입통제 개선 (2호기),67965485
에스원,1,2021-07-15,CCTV 및 출입통제 개선 (9호기),28208520
blueEnviro,4,2016-05-08,탈황설비 성능개선 (6호기),295880107
에스원,2,2017-04-08,사이버보안 시스템 구축 (6호기),50962024
한일정공,5,2018-12-25,정기보수 용역 (4호기),134707845
케이티텔레캅,2,2016-12-19,CCTV 및 출입통제 개선 (4호기),45264581
한일정공,3,2022-05-04,계획예방정비(TA) (7호기),304247736
에코텍,5,2024-08-04,탈황설비 성능개선 (6호기),124891013
한전KPS,1,2022-04-10,예비설비 보강 (1호기),42063486
포스코ICT,1,2017-12-11,AI 예지보전 시스템 도입 (9호기),82726345
한불환경,4,2019-03-11,집진기 교체공사 (2호기),290245975
대성설비,3,2023-12-15,운전안정화 개선공사 (7호기),84733364
GE코리아,1,2018-07-21,OEM 터빈정비계약 (2호기),788999385
포스코ICT,3,2016-09-24,AI 예지보전 시스템 도입 (2호기),141879360
대성설비,5,2025-08-23,운전안정화 개선공사 (9호기),182898885
안랩,2,2024-02-23,사이버보안 시스템 구축 (5호기),70873663
삼진밸브,2,2022-03-20,노후 배관 교체공사 (5호기),205909492
사내교육원,4,2022-04-25,안전보건 역량강화 교육 (7호기),23331916
사내교육원,2,2016-07-22,직무 워크숍 운영 (4호기),25918926
에코텍,1,2018-07-27,대기오염 저감설비 보강 (6호기),63396284
우진기전,2,2020-11-23,설비 신뢰도 향상 공사 (7호기),66425624
한전KPS,5,2017-11-21,운전안정화 개선공사 (6호기),94652736
한강배관,1,2021-06-26,노후 배관 교체공사 (3호기),107978076
허니웰,2,2016-04-22,스마트팩토리 구축 (5호기),349010119
blueEnviro,3,2023-07-24,집진기 교체공사 (7호기),298769718
에코텍,1,2016-04-01,대기오염 저감설비 보강 (4호기),217958191
허니웰,5,2021-01-05,DCS 자동화 개선 (3호기),192468098
사내교육원,1,2024-09-10,직무 워크숍 운영 (4호기),29328558
한전KPS,1,2017-05-06,예비설비 보강 (3호기),211023819
blueEnviro,3,2022-10-17,대기오염 저감설비 보강 (2호기),225090056
에스원,5,2020-11-22,발전소 방호설비 보강 (2호기),41510328
한일정공,5,2019-12-16,정기점검 정비공사 (4호기),196170619
우진기전,5,2019-09-07,예비설비 보강 (9호기),42724918
두산에너빌리티,3,2025-05-15,가스터빈 LTSA 정산 (2호기),659748735
지멘스에너지,3,2019-08-03,LTSA 장기서비스계약 (2호기),730256336
우진기전,5,2019-02-15,운전안정화 개선공사 (5호기),157884357
에스원,4,2020-07-07,사이버보안 시스템 구축 (9호기),29413516
한강배관,5,2023-02-25,노후 밸브 갱신공사 (9호기),327233170
한전KPS,2,2024-09-12,계획예방정비(TA) (6호기),262045032
에스원,3,2019-02-16,발전소 방호설비 보강 (7호기),75998319
blueEnviro,5,2021-10-21,탈황설비 성능개선 (3호기),133824044
blueEnviro,4,2023-07-09,대기오염 저감설비 보강 (6호기),225047937
한강배관,2,2024-10-02,노후 밸브 갱신공사 (6호기),552329851
대성설비,2,2023-07-21,설비 신뢰도 향상 공사 (1호기),104005616
허니웰,2,2022-01-16,스마트팩토리 구축 (6호기),114416106
두산에너빌리티,4,2019-02-08,OEM 터빈정비계약 (5호기),327772220
한전KPS,5,2016-05-27,운전안정화 개선공사 (2호기),207852742
두산에너빌리티,3,2019-09-21,LTSA 장기서비스계약 (3호기),805196410
한일정공,3,2017-03-26,계획예방정비(TA) (3호기),207097385
에코텍,4,2021-09-20,대기오염 저감설비 보강 (5호기),181793305
포스코ICT,5,2017-11-19,DCS 자동화 개선 (2호기),275069660
허니웰,5,2018-05-17,AI 예지보전 시스템 도입 (3호기),95524257
에코텍,5,2021-04-20,탈황설비 성능개선 (8호기),195248169
포스코ICT,2,2020-05-27,스마트팩토리 구축 (9호기),319399011
케이티텔레캅,3,2018-05-27,사이버보안 시스템 구축 (5호기),66581473
삼진밸브,3,2024-04-12,노후 배관 교체공사 (6호기),480819791
에머슨코리아,2,2025-11-08,AI 예지보전 시스템 도입 (9호기),171156543
한전KPS,4,2016-10-07,정기보수 용역 (5호기),274151326
안랩,1,2020-11-03,발전소 방호설비 보강 (6호기),39711402
한불환경,1,2021-08-03,집진기 교체공사 (4호기),92791999
삼진밸브,4,2017-07-26,노후 배관 교체공사 (6호기),520040549
한전KPS,4,2018-06-08,정기보수 용역 (9호기),107963244
한불환경,3,2018-12-18,집진기 교체공사 (9호기),260659709
두산에너빌리티,2,2016-08-27,LTSA 장기서비스계약 (2호기),1085879795
안전보건공단,4,2025-05-23,정비인력 기술교육 (5호기),7823034
삼진밸브,1,2023-03-03,노후 밸브 갱신공사 (8호기),118682554
포스코ICT,3,2018-08-03,스마트팩토리 구축 (4호기),197423381
한불환경,4,2025-02-19,대기오염 저감설비 보강 (5호기),137252872
한일정공,1,2016-04-28,정기점검 정비공사 (5호기),122837990
blueEnviro,4,2022-02-10,탈황설비 성능개선 (3호기),101592779
케이티텔레캅,4,2023-06-26,CCTV 및 출입통제 개선 (8호기),76776459
허니웰,2,2023-04-19,스마트팩토리 구축 (1호기),239416668
한강배관,3,2025-10-24,노후 변압기 개체 (3호기),310965885
포스코ICT,4,2018-08-15,AI 예지보전 시스템 도입 (6호기),299638633
삼진밸브,4,2018-06-07,노후 배관 교체공사 (5호기),303529838
한전KPS,2,2024-06-18,정기점검 정비공사 (8호기),94111130
사내교육원,5,2017-04-10,직무 워크숍 운영 (8호기),15388239
동아전기,2,2018-04-03,노후 밸브 갱신공사 (3호기),479255889
한강배관,3,2024-03-25,노후 변압기 개체 (6호기),314059350
에코텍,4,2018-10-18,탈황설비 성능개선 (8호기),94259824
케이티텔레캅,4,2024-07-17,사이버보안 시스템 구축 (1호기),22086184
포스코ICT,3,2022-01-15,스마트팩토리 구축 (9호기),130992921
안전보건공단,5,2018-05-25,정비인력 기술교육 (8호기),35203670
에스원,4,2020-05-15,CCTV 및 출입통제 개선 (5호기),27584297
지멘스에너지,2,2017-08-10,LTSA 장기서비스계약 (7호기),584759615
삼진밸브,4,2023-12-08,노후 변압기 개체 (6호기),463119576
허니웰,3,2023-11-15,스마트팩토리 구축 (1호기),132376487
한불환경,4,2021-03-22,대기오염 저감설비 보강 (5호기),160475664
한전KPS,1,2017-12-26,운전안정화 개선공사 (7호기),132794676
GE코리아,1,2024-04-25,가스터빈 LTSA 정산 (5호기),999145494
포스코ICT,3,2019-09-17,AI 예지보전 시스템 도입 (6호기),304079790
허니웰,1,2023-09-16,스마트팩토리 구축 (9호기),263794911
허니웰,3,2017-11-28,DCS 자동화 개선 (6호기),218532176
포스코ICT,5,2016-07-21,스마트팩토리 구축 (4호기),318022742
동아전기,2,2024-02-17,노후 밸브 갱신공사 (1호기),546349542
한강배관,1,2020-08-02,노후 밸브 갱신공사 (1호기),265857076
에코텍,4,2016-04-03,집진기 교체공사 (2호기),126546657
안전보건공단,1,2022-02-14,정비인력 기술교육 (8호기),29283523
안랩,5,2024-09-01,발전소 방호설비 보강 (8호기),48352498
우진기전,1,2017-09-22,예비설비 보강 (1호기),179565055
안전보건공단,3,2016-02-03,정비인력 기술교육 (4호기),27588477
한국생산성본부,1,2021-12-17,직무 워크숍 운영 (1호기),11157753
한불환경,1,2022-01-15,대기오염 저감설비 보강 (1호기),177096807
포스코ICT,3,2016-03-24,스마트팩토리 구축 (4호기),339499014
대명정비,3,2025-04-07,정기보수 용역 (5호기),337203722
허니웰,4,2018-11-23,스마트팩토리 구축 (4호기),129226760
대명정비,3,2024-10-10,정기보수 용역 (8호기),195196616
삼진밸브,1,2022-10-25,노후 밸브 갱신공사 (8호기),349082907
포스코ICT,3,2019-02-18,AI 예지보전 시스템 도입 (4호기),278244747
한일정공,3,2017-07-23,계획예방정비(TA) (7호기),255118112
안전보건공단,5,2017-03-19,정비인력 기술교육 (2호기),22529855
두산에너빌리티,5,2021-03-09,가스터빈 LTSA 정산 (5호기),331088245
한전KPS,4,2025-02-14,예비설비 보강 (6호기),220873527
우진기전,5,2025-10-24,예비설비 보강 (3호기),69320287
한강배관,4,2020-05-11,노후 배관 교체공사 (2호기),352055846
한일정공,5,2022-11-11,정기보수 용역 (9호기),100265528
대성설비,2,2018-02-05,예비설비 보강 (6호기),184996008
삼진밸브,3,2022-06-10,노후 밸브 갱신공사 (3호기),592174504
한일정공,3,2022-01-08,정기점검 정비공사 (9호기),172641861
한전KPS,2,2024-09-13,설비 신뢰도 향상 공사 (3호기),173961093
허니웰,5,2016-05-15,DCS 자동화 개선 (7호기),148509390
케이티텔레캅,3,2020-08-11,발전소 방호설비 보강 (9호기),60628276
한일정공,2,2019-04-23,계획예방정비(TA) (8호기),378057956
우진기전,1,2023-10-27,예비설비 보강 (2호기),155590227
우진기전,5,2017-09-10,운전안정화 개선공사 (1호기),219278163
안전보건공단,3,2016-11-21,안전보건 역량강화 교육 (8호기),8635366
동아전기,1,2025-05-02,노후 변압기 개체 (3호기),502118031
지멘스에너지,1,2025-11-25,OEM 터빈정비계약 (8호기),407959268
대명정비,3,2022-08-17,정기점검 정비공사 (5호기),398436524
한전KPS,3,2022-09-21,예비설비 보강 (3호기),60502932
삼진밸브,5,2021-09-09,노후 변압기 개체 (3호기),169788994
GE코리아,3,2023-11-21,OEM 터빈정비계약 (4호기),1086989426
허니웰,2,2016-01-20,DCS 자동화 개선 (9호기),334731459
사내교육원,2,2022-09-13,직무 워크숍 운영 (2호기),25775688
한전KPS,3,2019-04-25,설비 신뢰도 향상 공사 (5호기),161011240
두산에너빌리티,1,2023-09-26,가스터빈 LTSA 정산 (7호기),690102359
안랩,5,2019-01-16,발전소 방호설비 보강 (7호기),55150390
우진기전,5,2019-12-19,예비설비 보강 (8호기),156923636
에머슨코리아,3,2019-03-09,스마트팩토리 구축 (1호기),336761594
에코텍,3,2025-05-18,집진기 교체공사 (4호기),126174477
한전KPS,5,2021-10-20,예비설비 보강 (9호기),246006101
한일정공,4,2021-12-12,계획예방정비(TA) (5호기),97564422
GE코리아,1,2016-08-07,LTSA 장기서비스계약 (7호기),821453189
대명정비,2,2017-03-09,정기점검 정비공사 (2호기),377009682
대성설비,3,2019-04-11,설비 신뢰도 향상 공사 (2호기),233618289
안랩,5,2018-10-27,발전소 방호설비 보강 (6호기),69401199
대명정비,4,2016-06-12,계획예방정비(TA) (6호기),167324253
한일정공,4,2024-10-22,계획예방정비(TA) (9호기),230173894
두산에너빌리티,1,2016-11-11,가스터빈 LTSA 정산 (5호기),1125276600
한불환경,3,2023-06-13,탈황설비 성능개선 (3호기),202125805
한불환경,1,2020-01-24,탈황설비 성능개선 (9호기),182655697
사내교육원,4,2016-09-28,안전보건 역량강화 교육 (9호기),21872115
허니웰,4,2021-12-04,스마트팩토리 구축 (7호기),273332742
허니웰,2,2018-08-23,AI 예지보전 시스템 도입 (2호기),167018823
두산에너빌리티,1,2019-08-04,OEM 터빈정비계약 (3호기),984907325
blueEnviro,1,2016-05-03,탈황설비 성능개선 (6호기),167686853
대명정비,3,2016-12-24,정기점검 정비공사 (8호기),81742315
동아전기,1,2020-07-23,노후 변압기 개체 (5호기),443027603
에머슨코리아,3,2017-01-28,AI 예지보전 시스템 도입 (2호기),255375523
허니웰,4,2021-06-10,스마트팩토리 구축 (6호기),134508460
한일정공,1,2016-03-24,계획예방정비(TA) (4호기),199835355
사내교육원,4,2022-10-21,직무 워크숍 운영 (1호기),35181117
한강배관,5,2017-01-10,노후 변압기 개체 (7호기),394171548
케이티텔레캅,4,2019-04-13,CCTV 및 출입통제 개선 (2호기),49491631
동아전기,3,2025-10-17,노후 밸브 갱신공사 (8호기),179961909
한전KPS,4,2024-05-13,설비 신뢰도 향상 공사 (2호기),53584254
대성설비,1,2024-03-21,설비 신뢰도 향상 공사 (9호기),113672388
대명정비,4,2022-10-02,정기보수 용역 (5호기),227464300
한국생산성본부,5,2021-08-25,직무 워크숍 운영 (2호기),36960325
허니웰,2,2019-03-26,DCS 자동화 개선 (2호기),82017929
한전KPS,4,2020-01-11,정기보수 용역 (5호기),95540939
안전보건공단,5,2023-06-08,정비인력 기술교육 (7호기),10476448
지멘스에너지,3,2020-04-17,OEM 터빈정비계약 (7호기),456304376
안랩,1,2024-09-18,사이버보안 시스템 구축 (6호기),18715975
우진기전,5,2019-04-10,운전안정화 개선공사 (5호기),66984771
한강배관,4,2020-05-14,노후 변압기 개체 (9호기),478714985
허니웰,1,2016-11-18,AI 예지보전 시스템 도입 (2호기),77159403
지멘스에너지,2,2019-08-03,가스터빈 LTSA 정산 (5호기),1054827139
안전보건공단,5,2016-09-16,안전보건 역량강화 교육 (4호기),14283286
한국생산성본부,2,2024-03-16,안전보건 역량강화 교육 (6호기),17739550
허니웰,2,2019-04-06,AI 예지보전 시스템 도입 (2호기),134319384
지멘스에너지,5,2020-08-04,LTSA 장기서비스계약 (4호기),421827951
GE코리아,3,2023-03-05,가스터빈 LTSA 정산 (6호기),1149738493
한전KPS,5,2016-03-09,정기점검 정비공사 (8호기),375173558
안전보건공단,4,2019-08-03,직무 워크숍 운영 (7호기),7462702
대성설비,4,2020-02-08,설비 신뢰도 향상 공사 (7호기),169710176
대명정비,4,2021-05-20,정기보수 용역 (7호기),107619901
지멘스에너지,3,2017-11-08,LTSA 장기서비스계약 (6호기),525567963
지멘스에너지,5,2021-08-28,OEM 터빈정비계약 (1호기),365310776
케이티텔레캅,2,2016-02-22,사이버보안 시스템 구축 (4호기),22660194
사내교육원,5,2024-11-10,정비인력 기술교육 (8호기),24439535
한강배관,2,2024-01-02,노후 밸브 갱신공사 (7호기),368477282
허니웰,3,2025-11-19,스마트팩토리 구축 (1호기),98028856
두산에너빌리티,4,2018-11-14,가스터빈 LTSA 정산 (1호기),390137896
동아전기,3,2017-08-20,노후 변압기 개체 (2호기),105001198
두산에너빌리티,1,2017-03-02,OEM 터빈정비계약 (9호기),870292350
케이티텔레캅,4,2020-01-05,발전소 방호설비 보강 (3호기),76481885
사내교육원,5,2020-04-15,정비인력 기술교육 (8호기),14604467
삼진밸브,5,2017-07-05,노후 변압기 개체 (9호기),179507246
에스원,1,2020-05-18,발전소 방호설비 보강 (4호기),31257157
지멘스에너지,3,2023-12-16,가스터빈 LTSA 정산 (3호기),1114799481
안전보건공단,1,2020-06-21,직무 워크숍 운영 (9호기),30501998
한강배관,1,2025-08-16,노후 배관 교체공사 (7호기),450519150
한전KPS,1,2016-10-03,정기점검 정비공사 (3호기),306645405
지멘스에너지,2,2017-05-12,OEM 터빈정비계약 (5호기),374539964
한전KPS,2,2017-07-04,정기보수 용역 (2호기),206274130
에스원,2,2021-02-25,사이버보안 시스템 구축 (9호기),59333209
우진기전,1,2025-10-19,예비설비 보강 (5호기),215983861
blueEnviro,3,2017-05-13,대기오염 저감설비 보강 (6호기),124071773
한불환경,3,2019-09-27,탈황설비 성능개선 (7호기),292172667
GE코리아,2,2019-04-04,가스터빈 LTSA 정산 (5호기),391462297
에코텍,2,2023-03-26,집진기 교체공사 (8호기),229580301
안랩,4,2022-06-10,발전소 방호설비 보강 (3호기),58841557
한전KPS,1,2022-05-15,정기점검 정비공사 (1호기),123798748
에스원,5,2023-04-27,CCTV 및 출입통제 개선 (1호기),44349528
안전보건공단,4,2018-01-07,직무 워크숍 운영 (8호기),32902136
대성설비,2,2025-12-16,예비설비 보강 (4호기),225284865
blueEnviro,1,2018-04-05,대기오염 저감설비 보강 (5호기),120301519
사내교육원,5,2019-08-15,직무 워크숍 운영 (4호기),30526737
대성설비,5,2019-12-04,예비설비 보강 (1호기),203646551
대성설비,3,2021-10-22,설비 신뢰도 향상 공사 (3호기),78453779
한강배관,4,2025-12-11,노후 변압기 개체 (3호기),107561393
한전KPS,4,2024-06-02,계획예방정비(TA) (6호기),296495383
대성설비,5,2020-11-08,운전안정화 개선공사 (6호기),69083935
에스원,2,2024-03-23,CCTV 및 출입통제 개선 (2호기),70672142
포스코ICT,5,2025-07-27,AI 예지보전 시스템 도입 (1호기),143987187
에머슨코리아,4,2018-01-13,스마트팩토리 구축 (7호기),310727063
한전KPS,2,2020-06-03,정기보수 용역 (7호기),379204934
지멘스에너지,4,2023-05-24,LTSA 장기서비스계약 (7호기),700830389
에코텍,4,2017-10-07,대기오염 저감설비 보강 (2호기),163400110
대명정비,1,2016-04-07,정기보수 용역 (6호기),138663364
안랩,2,2025-02-11,사이버보안 시스템 구축 (5호기),35878707
한전KPS,3,2021-03-22,운전안정화 개선공사 (9호기),97106638
케이티텔레캅,3,2025-07-17,CCTV 및 출입통제 개선 (7호기),37365878
안전보건공단,1,2016-12-15,안전보건 역량강화 교육 (5호기),7915909
blueEnviro,2,2020-07-06,집진기 교체공사 (6호기),260650366
포스코ICT,1,2021-06-25,DCS 자동화 개선 (4호기),175090213
포스코ICT,2,2020-01-11,스마트팩토리 구축 (4호기),270533202
한국생산성본부,1,2023-07-02,안전보건 역량강화 교육 (6호기),6789806
대성설비,4,2019-08-03,운전안정화 개선공사 (9호기),172552144
한국생산성본부,2,2022-09-18,안전보건 역량강화 교육 (9호기),20442468
동아전기,1,2020-09-09,노후 변압기 개체 (6호기),522902563
안전보건공단,2,2016-03-23,직무 워크숍 운영 (5호기),5436124
지멘스에너지,5,2019-09-12,OEM 터빈정비계약 (1호기),501415220
허니웰,4,2021-11-12,DCS 자동화 개선 (6호기),103340607
우진기전,1,2023-01-28,설비 신뢰도 향상 공사 (5호기),135824525
지멘스에너지,1,2018-12-17,LTSA 장기서비스계약 (3호기),1163406382
케이티텔레캅,1,2018-07-06,사이버보안 시스템 구축 (8호기),30534124
대성설비,5,2017-11-14,예비설비 보강 (1호기),64776180
안랩,5,2022-03-15,발전소 방호설비 보강 (6호기),52431444
대명정비,2,2017-09-23,계획예방정비(TA) (3호기),315248548
에머슨코리아,5,2021-03-26,DCS 자동화 개선 (6호기),180765052
대명정비,4,2024-03-27,정기보수 용역 (9호기),264959964
안전보건공단,5,2022-03-07,정비인력 기술교육 (6호기),25727651
blueEnviro,5,2022-01-02,집진기 교체공사 (8호기),181309705
한전KPS,3,2018-03-10,운전안정화 개선공사 (2호기),248786918
한불환경,2,2019-05-11,탈황설비 성능개선 (6호기),274166493
포스코ICT,1,2025-11-24,스마트팩토리 구축 (3호기),331445091
한국생산성본부,3,2020-05-25,직무 워크숍 운영 (1호기),38334803
